super_category,prompt,category,count
object,Image of object which is a sign of bad luck' — Top 100 matches:,Empty_Wallet,1
object,Image of object which is a sign of bad luck' — Top 100 matches:,Ladder_Walking_Under,1
object,Image of object which is a sign of good luck' — Top 100 matches:,Umbrella_Closed_Outdoors,22
object,Image of object which is a sign of good luck' — Top 100 matches:,Spoon,14
object,Image of object which is a sign of good luck' — Top 100 matches:,Lucky_Charm_Bracelet,12
object,Image of object which is a sign of good luck' — Top 100 matches:,Open_Umbrella_Indoors,12
object,Image of object which is a sign of good luck' — Top 100 matches:,Book,11
object,Image of object which is a sign of good luck' — Top 100 matches:,Mirror_Unbroken,9
object,Image of object which is a sign of good luck' — Top 100 matches:,Ladder_Walking_Under,8
object,Image of object which is a sign of good luck' — Top 100 matches:,Lucky_Coin,5
object,Image of object which is a sign of good luck' — Top 100 matches:,Wishbone,3
object,Image of object which is a sign of good luck' — Top 100 matches:,Chair,2
object,Image of object which is a sign of good luck' — Top 100 matches:,Horseshoe,2
object,Image of object which is a sign of illness' — Top 100 matches:,Horseshoe,44
object,Image of object which is a sign of illness' — Top 100 matches:,Umbrella_Closed_Outdoors,14
object,Image of object which is a sign of illness' — Top 100 matches:,Book,10
object,Image of object which is a sign of illness' — Top 100 matches:,Ladder_Walking_Under,9
object,Image of object which is a sign of illness' — Top 100 matches:,Lucky_Coin,7
object,Image of object which is a sign of illness' — Top 100 matches:,Open_Umbrella_Indoors,4
object,Image of object which is a sign of illness' — Top 100 matches:,Wishbone,4
object,Image of object which is a sign of illness' — Top 100 matches:,Dream_Catcher,2
object,Image of object which is a sign of illness' — Top 100 matches:,Lucky_Charm_Bracelet,2
object,Image of object which is a sign of illness' — Top 100 matches:,Mirror_Unbroken,2
object,Image of object which is a sign of illness' — Top 100 matches:,Spoon,2
object,Image of object which is a sign of loss' — Top 100 matches:,Lucky_Charm_Bracelet,35
object,Image of object which is a sign of loss' — Top 100 matches:,Dream_Catcher,25
object,Image of object which is a sign of loss' — Top 100 matches:,Horseshoe,18
object,Image of object which is a sign of loss' — Top 100 matches:,Lucky_Coin,7
object,Image of object which is a sign of loss' — Top 100 matches:,Open_Umbrella_Indoors,7
object,Image of object which is a sign of loss' — Top 100 matches:,Ladder_Walking_Under,4
object,Image of object which is a sign of loss' — Top 100 matches:,Umbrella_Closed_Outdoors,2
object,Image of object which is a sign of loss' — Top 100 matches:,Broken_Mirror,1
object,Image of object which is a sign of loss' — Top 100 matches:,Wishbone,1
object,Image of object which is a sign of prosperity' — Top 100 matches:,Empty_Wallet,68
object,Image of object which is a sign of prosperity' — Top 100 matches:,Ladder_Walking_Under,7
object,Image of object which is a sign of prosperity' — Top 100 matches:,Book,5
object,Image of object which is a sign of prosperity' — Top 100 matches:,Broken_Mirror,5
object,Image of object which is a sign of prosperity' — Top 100 matches:,Lucky_Coin,5
object,Image of object which is a sign of prosperity' — Top 100 matches:,Dream_Catcher,4
object,Image of object which is a sign of prosperity' — Top 100 matches:,Mirror_Unbroken,2
object,Image of object which is a sign of prosperity' — Top 100 matches:,Wishbone,2
object,Image of object which is a sign of prosperity' — Top 100 matches:,Horseshoe,1
object,Image of object which is a sign of prosperity' — Top 100 matches:,Spoon,1
object,Image of object which is a sign of wealth' — Top 100 matches:,Dream_Catcher,28
object,Image of object which is a sign of wealth' — Top 100 matches:,Lucky_Charm_Bracelet,24
object,Image of object which is a sign of wealth' — Top 100 matches:,Lucky_Coin,18
object,Image of object which is a sign of wealth' — Top 100 matches:,Ladder_Walking_Under,14
object,Image of object which is a sign of wealth' — Top 100 matches:,Book,7
object,Image of object which is a sign of wealth' — Top 100 matches:,Horseshoe,7
object,Image of object which is a sign of wealth' — Top 100 matches:,Empty_Wallet,2
place,Image of place which is a sign of bad luck' — Top 100 matches:,Marketplace,48
place,Image of place which is a sign of bad luck' — Top 100 matches:,Library,39
place,Image of place which is a sign of bad luck' — Top 100 matches:,Haunted_House,7
place,Image of place which is a sign of bad luck' — Top 100 matches:,Cemetery,3
place,Image of place which is a sign of bad luck' — Top 100 matches:,Crossroads,3
place,Image of place which is a sign of good luck' — Top 100 matches:,Park,34
place,Image of place which is a sign of good luck' — Top 100 matches:,Cemetery,18
place,Image of place which is a sign of good luck' — Top 100 matches:,Marketplace,18
place,Image of place which is a sign of good luck' — Top 100 matches:,Crossroads,11
place,Image of place which is a sign of good luck' — Top 100 matches:,Library,7
place,Image of place which is a sign of good luck' — Top 100 matches:,Temple,5
place,Image of place which is a sign of good luck' — Top 100 matches:,Sacred_Tree,4
place,Image of place which is a sign of good luck' — Top 100 matches:,Fountain,2
place,Image of place which is a sign of good luck' — Top 100 matches:,Old_Ruins,1
place,Image of place which is a sign of illness' — Top 100 matches:,Old_Ruins,29
place,Image of place which is a sign of illness' — Top 100 matches:,Temple,27
